선수명,팀명,타율,안타,홈런,연봉
페르난데스,두산,0.34,199,21,40000
허경민,두산,0.332,145,7,48000
오재일,두산,0.312,147,16,47000
최주환,두산,0.306,156,16,27000
박건우,두산,0.304,148,14,45000
정수빈,두산,0.298,146,5,34000
최용제,두산,0.295,13,0,2800
김재호,두산,0.289,116,2,65000
안권수,두산,0.27,10,0,2700
박세혁,두산,0.269,97,4,23200
김재환,두산,0.266,137,30,65000
조수행,두산,0.263,10,0,4500
권민석,두산,0.26,13,0,2700
이유찬,두산,0.258,23,0,3200
신성현,두산,0.25,1,0,4800
장승현,두산,0.25,5,0,3500
서예일,두산,0.24,6,0,3200
국해성,두산,0.233,20,3,4500
오재원,두산,0.232,36,5,30000
양찬열,두산,0.227,5,0,2700
김인태,두산,0.202,17,1,5000
백동훈,두산,0.188,3,0,3600
정상호,두산,0.163,14,0,7000
강태율,롯데,0.455,5,2,2700
신용수,롯데,0.429,3,0,2900
손아섭,롯데,0.352,190,11,200000
오윤석,롯데,0.298,50,4,4000
정훈,롯데,0.295,121,11,6400
이대호,롯데,0.292,158,20,250000
안치홍,롯데,0.286,118,8,29000
마차도,롯데,0.28,136,12,30000
전준우,롯데,0.279,157,26,50000
한동희,롯데,0.278,128,17,4700
이병규,롯데,0.274,45,9,5000
김재유,롯데,0.259,30,1,2900
김민수,롯데,0.25,2,0,3000
지성준,롯데,0.25,2,0,5700
민병헌,롯데,0.233,72,2,125000
김준태,롯데,0.225,69,5,3800
김동한,롯데,0.221,15,0,4500
신본기,롯데,0.217,23,2,12500
강로한,롯데,0.19,4,0,5300
허일,롯데,0.179,15,1,4100
정보근,롯데,0.15,20,0,2900
추재현,롯데,0.125,3,0,2700
김호재,삼성,0.322,38,1,4000
김동엽,삼성,0.312,129,20,13500
구자욱,삼성,0.307,137,15,28000
강한울,삼성,0.305,32,1,12000
김상수,삼성,0.304,123,5,25000
최영진,삼성,0.297,30,1,8000
박해민,삼성,0.29,142,11,30000
강민호,삼성,0.287,102,19,125000
김성윤,삼성,0.286,2,0,2900
이성곤,삼성,0.281,39,5,3500
살라디노,삼성,0.28,37,6,70000
송준석,삼성,0.277,13,1,4000
이원석,삼성,0.268,108,13,30000
박승규,삼성,0.258,47,1,3200
김헌곤,삼성,0.248,63,3,19000
김지찬,삼성,0.232,59,1,2700
이학주,삼성,0.228,47,4,9000
김응민,삼성,0.224,17,0,3200
김도환,삼성,0.22,9,0,5000
박찬도,삼성,0.219,21,1,5000
팔카,삼성,0.209,41,8,10000
박계범,삼성,0.195,32,3,5500
이성규,삼성,0.181,39,10,4300
김민수,삼성,0.174,4,0,4300
김재현,삼성,0.143,2,0,5500
양우현,삼성,0.13,3,0,2700
김성표,삼성,0.125,1,0,2800
임지열,키움,1,1,0,2700
김은성,키움,0.5,2,0,2900
이정후,키움,0.333,181,15,39000
이지영,키움,0.309,81,0,30000
김하성,키움,0.306,163,30,55000
김혜성,키움,0.285,142,7,10000
서건창,키움,0.277,134,5,35000
김웅빈,키움,0.275,57,8,3700
변상권,키움,0.274,17,1,3700
임병욱,키움,0.27,10,0,8800
허정협,키움,0.268,84,10,3500
러셀,키움,0.254,62,2,54000
박동원,키움,0.25,81,12,22500
박주홍,키움,0.25,6,0,2700
박준태,키움,0.245,85,5,4500
전병우,키움,0.237,85,8,2900
김주형,키움,0.233,10,1,2700
박병호,키움,0.223,69,21,200000
김규민,키움,0.208,21,1,5400
이택근,키움,0.193,11,0,5000
주효상,키움,0.19,16,0,4000
박정음,키움,0.186,8,0,4300
김수환,키움,0.182,2,0,2700
모터,키움,0.114,4,1,20000
허관회,한화,0.5,1,0,2700
김현민,한화,0.4,2,0,2700
최승준,한화,0.333,1,0,4000
최재훈,한화,0.301,102,3,20000
이용규,한화,0.286,120,1,40000
하주석,한화,0.286,75,2,14000
김민하,한화,0.284,21,1,4500
박정현,한화,0.279,17,1,2700
정진호,한화,0.277,78,2,11300
이해창,한화,0.269,32,3,5500
반즈,한화,0.265,75,9,50000
노수광,한화,0.251,73,1,21000
정은원,한화,0.248,63,3,12000
최인호,한화,0.236,30,0,2700
송광민,한화,0.235,65,9,25000
최진행,한화,0.234,50,8,16000
오선진,한화,0.234,46,2,10500
임종찬,한화,0.231,25,1,2700
강경학,한화,0.228,44,4,7800
양성우,한화,0.222,2,0,7000
조한민,한화,0.22,11,0,2700
노시환,한화,0.22,76,12,3300
김태균,한화,0.219,48,2,50000
김문호,한화,0.217,10,2,5000
박상언,한화,0.217,10,0,2800
노태형,한화,0.216,22,0,2700
이도윤,한화,0.208,5,0,3000
이성열,한화,0.203,46,8,50000
호잉,한화,0.194,24,4,55000
김회성,한화,0.167,3,0,6500
유장혁,한화,0.167,7,0,3200
정기훈,한화,0.161,5,0,2700
김지수,한화,0.16,4,1,2700
장진혁,한화,0.156,5,0,5800
박한결,한화,0.15,3,0,3000
장운호,한화,0.148,4,1,3800
이동훈,한화,0.105,4,0,3300
류지혁,KIA,0.381,16,1,10500
최형우,KIA,0.354,185,28,150000
김주찬,KIA,0.333,6,1,40000
김선빈,KIA,0.33,100,1,45000
이창진,KIA,0.33,29,0,8500
최원준,KIA,0.326,117,2,7000
터커,KIA,0.306,166,32,55000
나지완,KIA,0.291,136,17,60000
나주환,KIA,0.279,57,6,12000
황대인,KIA,0.276,32,4,3000
김민식,KIA,0.251,53,2,8800
홍종표,KIA,0.25,20,0,2700
유민상,KIA,0.246,96,8,6000
황윤호,KIA,0.243,17,0,5000
오선우,KIA,0.239,16,4,3000
김태진,KIA,0.236,62,1,9000
김호령,KIA,0.232,32,4,8500
고장혁,KIA,0.231,3,0,5000
이진영,KIA,0.227,5,0,3400
한승택,KIA,0.226,51,9,8000
박찬호,KIA,0.223,107,3,10500
백용환,KIA,0.22,20,5,10500
이우성,KIA,0.203,12,0,4000
최정용,KIA,0.196,11,1,3600
김규성,KIA,0.178,28,3,2900
문선재,KIA,0.167,1,0,4500
장영석,KIA,0.129,4,0,7500
최정민,KIA,0.111,1,0,3500
김영환,KIA,0,0,0,3300
로하스,KT,0.349,192,47,80000
강백호,KT,0.33,165,23,21000
황재균,KT,0.312,169,21,120000
조용호,KT,0.296,121,0,7000
배정대,KT,0.289,154,13,4800
박경수,KT,0.281,91,13,40000
유한준,KT,0.28,108,11,50000
장성우,KT,0.278,111,13,13500
허도환,KT,0.264,14,0,6500
박승욱,KT,0.264,29,1,8000
문상철,KT,0.26,40,8,4000
김민혁,KT,0.239,53,5,9000
심우준,KT,0.235,112,3,13000
강민국,KT,0.224,24,0,4000
천성호,KT,0.203,14,0,2700
강현우,KT,0.2,6,1,2700
송민섭,KT,0.195,8,1,4700
이홍구,KT,0.19,16,3,9000
김병희,KT,0.143,3,1,3000
손호영,LG,0.367,11,0,2700
김현수,LG,0.331,181,22,130000
신민재,LG,0.308,8,0,5000
오지환,LG,0.3,158,10,60000
박용택,LG,0.3,65,2,80000
이형종,LG,0.296,85,17,20000
채은성,LG,0.293,122,15,32000
홍창기,LG,0.279,114,5,3800
라모스,LG,0.278,120,38,30000
김용의,LG,0.271,19,1,10500
박재욱,LG,0.267,4,0,3500
김민성,LG,0.266,79,5,40000
유강남,LG,0.261,112,16,23000
이천웅,LG,0.256,80,3,28000
백승현,LG,0.25,7,0,3400
정주현,LG,0.247,81,4,12500
양석환,LG,0.246,29,3,21000
김호은,LG,0.243,25,2,2700
정근우,LG,0.24,37,1,35000
이성우,LG,0.234,18,3,8000
장준원,LG,0.217,13,1,3400
전민수,LG,0.2,1,0,5000
구본혁,LG,0.163,14,1,4000
이재원,LG,0.05,1,0,2700
김기환,NC,0.5,1,0,2700
이재율,NC,0.444,4,0,3000
박민우,NC,0.345,161,8,52000
양의지,NC,0.328,151,33,200000
나성범,NC,0.324,170,34,50000
강진성,NC,0.309,122,12,3800
박석민,NC,0.306,109,14,70000
이명기,NC,0.306,146,2,24000
김형준,NC,0.306,22,3,5000
모창민,NC,0.301,41,2,30000
김찬형,NC,0.297,19,0,5800
김태군,NC,0.292,33,1,20000
알테어,NC,0.278,134,31,80000
최정원,NC,0.275,11,0,2700
노진혁,NC,0.274,117,20,14000
권희동,NC,0.26,90,12,13500
이원재,NC,0.258,34,4,7100
윤수강,NC,0.25,1,0,3200
김성욱,NC,0.221,43,8,12000
김준완,NC,0.215,14,1,8000
지석훈,NC,0.207,25,1,12500
도태훈,NC,0.182,2,0,3200
박준영,NC,0.152,7,0,2700
이상호,NC,0.131,8,0,10000
김경호,SK,0.286,30,0,2900
김성민,SK,0.286,4,2,2700
고종욱,SK,0.283,77,3,17000
로맥,SK,0.282,137,32,90000
채태인,SK,0.281,45,7,10000
오태곤,SK,0.274,64,5,9500
김성현,SK,0.271,93,2,21000
오준혁,SK,0.27,40,3,3000
최정,SK,0.27,122,33,120000
최항,SK,0.265,35,2,7500
최지훈,SK,0.258,120,1,2700
김강민,SK,0.253,73,12,35000
유서준,SK,0.25,6,1,3100
한동민,SK,0.249,48,15,25000
박성한,SK,0.242,24,2,2700
정의윤,SK,0.241,45,1,30000
이흥련,SK,0.24,30,3,7000
정진기,SK,0.238,30,2,4600
최준우,SK,0.236,43,3,3100
남태혁,SK,0.197,13,1,3000
김창평,SK,0.192,15,0,3000
윤석민,SK,0.192,14,3,18000
이재원,SK,0.185,41,2,130000
이현석,SK,0.178,18,2,3000
정현,SK,0.152,17,2,3000
김재현,SK,0.143,2,0,5600
화이트,SK,0.136,3,1,
채현우,SK,0.13,3,0,3000
류효승,SK,0.125,1,1,2700
이거연,SK,0.125,1,0,2700
